Name,Director,Genre,Runtime,Trailer,Accepted,Block,Time,image,Country,Sinopsis
La Cascada,Pablo Delgado,"Body, Fiction, absurd, political",21,https://vimeo.com/922312397,Yes,1,17:00-18:00,https://m.media-amazon.com/images/M/MV5BZjcxYTFjYzEtOWJkYy00MmZjLWI4NDUtNzExM2EzMGI5OWFmXkEyXkFqcGc@._V1_.jpg,Mexico,"A man discovers he has been crying for two months without even realizing it. His face has an impenetrable serious gesture. Strangely his tears have decided to work in an inverse manner, transforming his interiors into a waterfall. The water has started to pool at his feet. The man will have to find a way to stop a cry that he can't even feel."
Cine Palace,Séverine de Streyker,,15,,Yes,1,17:00-18:00,https://m.media-amazon.com/images/M/MV5BMWFkMTgzZWMtZDQxMS00MDE0LTliNmEtMzAxYjk3YWZjMjM4XkEyXkFqcGc@._V1_.jpg,Belgium,"""Cine Palace"" relates a day in the life of a stripper, Julia, within the confines of an erotic cinema the likes of which is rapidly becoming a rarity, with all the encounters, fantasies and surprises that this little theatre of life conceals."
Almost Certainly False,Cansu Baydar,"Fiction, Narrative",20,https://vimeo.com/1001751427,Yes,1,17:00-18:00,https://assets.mubicdn.net/images/film/419408/image-w1280.jpg?1745502916,Turkey,"Hanna, a Syrian refugee in Istanbul, who tries to balance her dreams of migrating to Europe with the needs of her younger brother, Nader, after they fled the war"
I am a Horse,Chaerin Im,"Animation, Body, Essay",8,https://www.youtube.com/watch?v=T-w5oxazA0g,Yes,1,17:00-18:00,https://bonobostudio.hr/media/W1siZiIsIjIwMjIvMTEvMjAvNDlpcTZtejJ6bV9JX0FNX0FfSE9SU0Vfc3RpbGwxMi5qcGciXV0/7f1313290b3a9f89/I-AM-A-HORSE_still12.jpg,South Korea,"Where are the girls?

Unable to find girls in the diverse artwork of the Korean artist Lee Jung-seob, Chaerin Im unravels an imaginative tale of women born with half of their bodies being a horse and a tiger. These roaming women are too fierce and free to match their given role as a daughter, wife, and mother in the patriarchal society."
Oneira,Miguel Guzman,"Fiction, Narrative",27,https://vimeo.com/1114726826,Yes,2,19:00-20:00,https://raw.githubusercontent.com/Gelatino/PortfolioMG/refs/heads/main/assets/images/Oneira/Oneira_Still_4.jpg,Mexico," follows Emili, who helps her mother keep a small-town restaurant alive. As she pursues her dream of becoming an actress, the whole town is obsessed with a football match."
Flowers Blooming in our Throats,Eva Giolo,"Body, experimental, perfomative",8,https://www.youtube.com/watch?v=mFomvxIFQfk,Yes,2,19:00-20:00,https://archives.cinemadureel.org/wp-content/uploads/2022/12/Flowers-blooming-in-our-throats-1-1-1244x700.jpg,Belgium,"Filmed in 16mm just after the lockdown caused by COVID-19, Flowers blooming in our throats is an intimate, poetic portrait of the fragile balances that govern everyday life in a domestic setting."
Warsha,Dania Bdeir,"Fiction, Narrative, Queer",15,https://www.youtube.com/watch?v=-mD3Oo4mZ8o,Yes,2,19:00-20:00,Warsha.avif,Lebanon,"Away from everyone's eyes, a Beirut crane operator is able to live out his secret passion and find freedom."
Polycephaly in D,Michael Robinson,"Body, collage, experimental",23,,Yes,2,19:00-20:00,https://images.mubicdn.net/images/film/314093/cache-702775-1745498807/image-w1280.jpg?size=800x,United States,"
Informed
 by an underlying sense of anxiety and anguish, Michael Robinson's 
Polycephaly in D nestles fragments of narrative within a collage of 
sound, image, and text that oscillates between the elegant and the 
discordant."
Shaping Change,"Anna Fabricius ",,11,https://www.annafabricius.com/shapingchange,Yes,3,At the studio,https://osloopen.no/dynamic_images/bbce067bd47073249895a49688a6398896d94152/826x464/27784-20250110182107904678.jpeg,"Sweden ","“Shaping change” portrays the female body's natural changes in different phases of life: puberty, childbirth, and menopause. "
Las Mujeres de Pinochet – Pinochet’s Women,Eduardo Menz,"archive, experimental, political",12,,Yes,3,At the studio,LasMujeres.png,Canada,"In this experimental short, the viewer is forced to role-play through the repeated employment and alteration of the text, sound and image until his or her expectations have been truthfully realized. The video examines class structure, the meaning of beauty and forgotten history through two very different but significant women during Pinochet's brutal regime of the late 1980's."
Motorcyclist’s Happiness Won’t Fit Into His Suit,Gabriel Herrera,,10,https://www.youtube.com/watch?v=BPfcFrrQg2Q,Yes,3,At the studio,https://cdn.prod.website-files.com/63c70e13bc79a6500f4d7517/6408ee2be7c9a7db5b5d4d2d_motorcyclist%C2%B4s%20happiness%20won%E2%80%99t%20fit%20into%20his%20suit%20%E2%80%93%20TRAILER%20.png,Mexico,"A short, revisionist film about a proud motorcyclist who believes he alone can explore a jungle."
Love your Clean Feet on Thursday,Young-Jun Tak,"Body, absurd, performative",19,https://vimeo.com/879476477?fl=pl&fe=vl,No,,,,,
Close to September,Lucía G. Romero,"Fiction, Queer, political",29,https://www.youtube.com/watch?v=DfpH4mI3IwQ,No,,,,,
Dearest Degenerate,Antonia Luxem,,10,https://vimeo.com/311274803,No,3,,https://impro.usercontent.one/appid/oneComWsb/domain/antonialuxem.com/media/antonialuxem.com/onewebmedia/Dearest%20Degenerate_v3.00_06_24_18.Still017.jpg?etag=%226a2d4-67ebbc15%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=810%2B456&quality=85,,"This piece is an address, in the form of a letter, to the close and homophobic person. It is a deconstructed reaction to the underlying and violent, invisible and yet prevalent homophobia within our society. It was developed from material found in personal notebooks and diaries and inspired by books such as Didier Eribon’s “Insult and the Making of the Gay Self” and José Esteban Muñoz’s “Cruising Utopia”."
